asnum,asname,,,
8501,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networ",,,
8508,"Silesian University of Technology, Computer Centre",,,
8510,Tomsk State University,,,
8599,State Educational Institution of Higher Professional Education Ulyanovsk State University,,,
8605,University of Latvia,,,
8623,Nizhny Novgorod State University,,,
8630,Fedaral State Educational Institution of higher professional Education 'Chuvash State Univers,,,
8643,University of Athens,,,
8663,Kuban State University,,,
8664,University of Warsaw,,,
8670,University of Sarajevo,,,
8678,Ankara Universitesi Rektorlugu,,,
8684,State Educational Institution of Higher Professional Education Perm State University,,,
8700,Technological Educational Institute of Thessaly,,,
8719,Dnepropetrovsk National University of Oles Gonchar,,,
8762,Technological Educational Institute of Crete,,,
8775,Institute of continuous media mechanics of the Ural branch of the Russian Academy of Science,,,
8790,State Educational Institution of Higher Professional Education Petrozavodsk State University,,,
8890,University of Warsaw,,,
8909,State Educational Institution of Higher Professional Education Amur State University,,,
8941,N. P. Ogarev's Mordovian State University,,,
8981,Voronezh State University,,,
9039,"Institute of information & analytical technologies IIAT, Limited",,,
9041,Russian State Vocational Pedagogical University,,,
9056,Federal State Institution Federal Scientific Research Institute for System Analysis of the Ru,,,
9095,Istanbul Teknik Universitesi,,,
9111,State Educational Institution of Higher Professional Education Saratov State University of N.,,,
9112,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networ",,,
9124,Federal State Educational Institution of Higher Professional Education Russian State Universi,,,
9206,"Keldysh Institute of Applied Mathematics, Russian Academy of Sciences",,,
9247,National Institute of Education,,,
9271,Wonkwang University,,,
9274,Pusan National University,,,
9275,Korea Astronomy & Space Science Institute,,,
9317,Inha University,,,
9321,Hanyang University,,,
9322,"Institute of Information and Computing, EWHA WOMANS UNIV.",,,
9323,Dongguk University Information Management Center,,,
9355,National Institute of Information and Communications Technology,,,
9367,Tokyo Institute of Technology,,,
9411,"Kasetsart University, Thailand",,,
9419,Nanyang Technological University,,,
9431,The University of Auckland,,,
9432,University of Canterbury,,,
9433,Massey University,,,
9452,Korea University,,,
9459,Konkuk University,,,
9464,Prince of Songkla University (Sritrang'NET),,,
9475,Walailuk University,,,
9486,King Mongkut's Institute of Technology Ladkrabang,,,
9488,Seoul National University,,,
9489,Korea Aerospace Research Institute,,,
9521,Korea Automotive Technology Institute,,,
9523,Mokwon University,,,
9533,King Mongkut's Institute of Technology North Bangkok,,,
9546,Ministry of University Affairs,,,
9551,King Mongkut's University of Technology,,,
9562,Mahasarakham University,,,
9570,Daedong College,,,
9572,Hankuk University of Foreign Studies Computer Center,,,
9591,National Institute for Fusion Science,,,
9628,Seoul Education Science Research Institute,,,
9631,youngsan university,,,
9635,Pusan University of Foreign Studies,,,
9637,Dankook University,,,
9686,SungKyunKwan University (SKKU),,,
9693,Korea Financial Telecommunications & Clearings Institute,,,
9708,Pukyong National University,,,
9711,Kyonggi provin educational information research institute,,,
9753,Dong-A Universirty,,,
9769,Sejong University,,,
9774,dongseo university,,,
9775,Hannam University,,,
9777,Gyeongju University,,,
9782,WooSong University,,,
9868,Catholic University of DAEGU,,,
9903,Rajamangala Institute of Technology,,,
9916,National Chiao Tung University,,,
9954,Kunsan National University,,,
9955,CHEONAN University,,,
9962,Sunchon National University,,,
9970,Korea University of Technology and Education,,,
9975,Gyeongsangbuk-do Education Research Institute,,,
9978,The University of Seoul,,,
9991,Hiroshima Shudo University,,,
10014,Nihon University,,,
10039,Korea Health Industry Development Institute,,,
10045,Hanbat National University,,,
10047,Namseoul university,,,
10053,Anyang Technical College,,,
10070,Korea Research Institute of Standards and Science,,,
10071,anyang University,,,
10073,Korea National Open University,,,
10088,"KWANGWOON University in Seoul, Korea",,,
10110,Manukau Institute of Technology,,,
10148,"The University of Melbourne, Melbourne, Victoria",,,
10156,Seoul National University of Education,,,
10159,HANKUK Aviation University,,,
10176,Taejon Institute of Education Science,,,
10178,Korea Baptist Theological University/Seminary,,,
10180,Chuncheon National University of Education,,,
10187,Korea Information Society Developement Institute,,,
10190,Joongbu University,,,
10197,Chonnam National University,,,
10198,Catholic University of Pusan,,,
10227,Institute Rajabhat Suandusit,,,
10265,Seneca College of Applied Arts and Technology,,,
10294,Coast Community College District,,,
10326,Worcester Polytechnic Institute,,,
10349,Tulane University,,,
10357,James Madison University,,,
10364,University of Alabama in Huntsville,,,
10411,Environmental Systems Research Institute,,,
10421,Texas Tech University,,,
10437,"University of Kentucky, Communication Services",,,
10448,Villanova University,,,
10466,MAGPI c/o University of Pennsylvania,,,
10490,Georgia Institute of Technology,,,
10508,University of Arkansas,,,
10545,Lynchburg College,,,
10546,Mississippi State University,,,
10558,"Biola University, Inc.",,,
10561,Brandeis University,,,
10578,Harvard University,,,
10631,Georgia State University,,,
10715,Universidade Federal de Santa Catarina,,,
10755,Dartmouth College,,,
10849,Dallas County Community College District,,,
10867,Foothill-DeAnza Community College District,,,
10886,University of Maryland,,,
10891,Universal Tax Systems Inc,,,
10952,East Carolina University,,,
10972,"Memorial University, NF CAnet 2 gigaPOP",,,
10988,College of Western Idaho,,,
11009,Carlow University,,,
11032,Universite du Quebec,,,
11039,The George Washington University,,,
11050,Kent State University,,,
11078,Brown University,,,
11094,Rutgers University,,,
11105,Simon Fraser University,,,
11131,University of Maryland Baltimore County (UMBC),,,
11200,Regis University,,,
11214,University of North Florida,,,
11242,Universidade Federal de Santa Catarina,,,
11252,Idaho State University,,,
11257,University of Lethbridge,,,
11279,George Mason University,,,
11293,University of California - Office of the President,,,
11297,Lipscomb University,,,
11318,Georgetown University,,,
11340,Red Universitaria Nacional,,,
11348,Missouri University of Science and Technology,,,
11375,Minneapolis College of Art and Design,,,
11395,Thiel College,,,
11399,Williams College Center for Computing,,,
11417,Northern Illinois University,,,
11442,North Carolina State University,,,
11446,Lakeland Community College,,,
11482,Canisius College,,,
11494,Kellogg Community College,,,
11523,"H. Lee Moffitt Cancer Center & Research Institute, Inc.",,,
11540,Research Triangle Institute,,,
11546,University of Nebraska at Omaha,,,
11548,Heritage University,,,
11570,Eastern New Mexico University,,,
11607,South Dakota State University,,,
11628,Ontario Institute for Cancer Research,,,
11649,Gonzaga University,,,
11659,University of Kansas Medical Center,,,
11694,Universidad Simon Bolivar,,,
11714,University of Nebraska Central Administration,,,
11736,University of South Dakota,,,
11745,University System of New Hampshire,,,
11773,The University Of Texas M.D. Anderson Cancer Center,,,
11808,University of Idaho,,,
11809,Embry-Riddle University,,,
11827,Washington State University,,,
11834,Drexel University,,,
11851,The Michener Institute for Applied Health Sciences,,,
11863,Pacific Lutheran University,,,
11872,Syracuse University,,,
11897,Tulsa Community College,,,
11975,The College of William and Mary,,,
11995,Oregon Health & Science University,,,
12005,University of South Carolina,,,
12013,Florida Atlantic University,,,
12046,University of Malta - IT Services,,,
12093,University of Waterloo,,,
12118,West Virginia University,,,
12145,Colorado State University,,,
12148,Clemson University,,,
12173,The University of Alabama,,,
12218,American Institutes for Research,,,
12229,"SAS Institute, Inc.",,,
12268,Elizabethtown College,,,
12324,Maria Curie-Sklodowska University,,,
12341,Ural State Polzunov College,,,
12346,Maria Curie-Sklodowska University,,,
12384,Swedish University of Agricultural Sciences,,,
12501,"UMDAC, Umea University",,,
12618,University of Technology and Agriculture in Bydgoszcz,,,
12660,Sharif University Of Technology,,,
12675,Alexandru Ioan Cuza University,,,
12691,Donetsk State Technical University,,,
12724,"Prokhorov General Physics Institute, Russian Academy of Sciences, RAS (GPI)",,,
12770,"Pacific National University, Public Institution",,,
12812,American University of Beirut,,,
12828,Institution of the Russian Science Academy Institute of Computational Modeling of Siberian R,,,
12831,"Technical University of Gdansk, Academic Computer Center TASK",,,
12908,Sabanci University,,,
12999,State Educational institution for High professional education 'Far Eastern State University',,,
13032,Kyiv National Taras Shevchenko University,,,
13041,Consorci de Serveis Universitaris de Catalunya,,,
13078,"Computer Technologies Institute,ltd",,,
13102,Istanbul Bilgi Universitesi,,,
13171,Belarusian State University,,,
13185,State University ESPC,,,
13242,Latvijas Lauksaimniecibas Universitate,,,
13293,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Netwo",,,
13303,University of Nis,,,
13326,Tufts University,,,
13327,Eastern Kentucky University,,,
13371,Duke University,,,
13374,D'Youville College,,,
13406,"State College of Florida, Manatee-Sarasota",,,
13429,Medical University of South Carolina,,,
13462,Institute of Electrical and Electronics Engineers,,,
13476,Montana State University,,,
13485,Grand Canyon University,,,
13515,Palm Beach Atlantic University,,,
13548,College of Charleston,,,
13613,LDS Business College,,,
13691,Metropolitan Community College,,,
13712,Saint Marys University of Minnesota,,,
13755,St. Petersburg Jr. College,,,
13759,Wilkes University,,,
13764,Kwantlen Polytechnic University,,,
13783,Radford University,,,
13796,University of Connecticut,,,
13809,University of Arkansas for Medical Sciences,,,
13838,Emerson College,,,
13953,Sauk Valley Community College,,,
13981,Institute for Transfusion Medicine,,,
13995,"Personnel Decisions Research Institutes, Inc.",,,
14041,University Corporation for Atmospheric Research,,,
14048,The University of Memphis,,,
14049,Golden Gate University,,,
14104,University of Texas System,,,
14128,National University,,,
14151,Investment Company Institute,,,
14183,University of Arkansas at Little Rock,,,
14200,Marshall University,,,
14209,University of Tennessee at Chattanooga,,,
14221,University of Washington,,,
14255,University of San Diego,,,
14314,The University of Texas at Brownsville,,,
14319,Furman University,,,
14348,University of Rhode Island,,,
14373,University of Texas Medical Branch,,,
14426,Grant MacEwan University,,,
14431,Umpqua Community College,,,
14433,State University of New York - Oswego,,,
14448,High Point University,,,
14486,Occidental College,,,
14512,Bentley University,,,
14513,Des Moines Area Community College,,,
14518,Sanford-Burnham Medical Research Institute,,,
14529,Saint Joseph's University,,,
14550,Middlebury College,,,
14598,York College of Pennsylvania,,,
14623,Lubbock Christian University,,,
14655,Hampton University,,,
14661,Laurentian University,,,
14706,Monterey Bay Aquarium Research Institute,,,
14737,Colorado Community College and Occupational Education System,,,
14753,Universal Consulting,,,
14760,Murray State University,,,
14763,St. Catherine University,,,
14801,Hawaii Pacific University,,,
14834,University of Illinois at Springfield,,,
14845,Universidad Nacional del Sur,,,
15046,Syracuse University,,,
15116,Pittsburg State University,,,
15118,Southern Illinois University - School of Medicine,,,
15119,Southern Illinois University,,,
15158,Algoma University College,,,
15172,Reinhardt University,,,
15199,Western Washington University,,,
15236,Universidad de Colima,,,
15295,University of Northern Colorado,,,
15318,McGill University,,,
15336,"Concordia University, St. Paul",,,
15337,Wm. Rainey Harper College,,,
15390,Selcuk Universitesi,,,
15396,University of Warsaw,,,
15406,Fatih Universitesi,,,
15488,Universidad del Pais Vasco - Euskal Herriko Unibertsitatea,,,
15496,Aalto University,,,
15505,King Abdulaziz University (KAU) - Deanship of Information Technology,,,
15630,Universidad Nacional de Educacion a Distancia - UNED,,,
15633,Universitat Oberta de Catalunya,,,
15744,"Silesian University of Technology, Computer Centre",,,
15798,"University of Warmia and Mazury in Olsztyn, Poland",,,
15835,ROSNIIROS Russian Institute for Public Networks,,,
15843,Galatasaray Universitesi,,,
15907,Imam Khomeini International University of Qazvin,,,
15913,Institute for Automation and Control Processes of,,,
15980,Uppsala University,,,
16120,Universitatea de Medicina si Farmacie Victor Babes Timisoara,,,
16220,Civil Engineering University of Bucharest,,,
16283,Technical University of Lodz Computer Centre,,,
16286,University of Kashan,,,
16292,Kermanshah University of Medical Science and Health Service,,,
16308,State Educational institution for High professional education 'Southern Federal University',,,
16328,University of Architecture Civil Engineering and Geodesy,,,
16384,St Michael's College,,,
16393,Barry University,,,
16404,Albright College,,,
16430,University of Southern Mississippi,,,
16461,The University of Texas at El Paso,,,
16462,University of Victoria,,,
16475,Brock University,,,
16481,Babson College,,,
16489,Webster University,,,
16519,University of Colorado Denver,,,
16573,Santa Monica Community College District,,,
16580,Athabasca University,,,
16596,Universidad Autonoma del Estado de Baja California,,,
16597,South Plains College,,,
16600,University of Texas Health Science Center at Tyler,,,
16619,Georgia Institute of Technology,,,
16643,Virginia Commonwealth University,,,
16649,Interamerican University of Puerto Rico,,,
16692,Howard Hughes Medical Institute,,,
16738,Logistics Management Institute,,,
16742,Universidad Catolica de Valparaiso,,,
16826,Johnson County Community College,,,
16889,Stevens Institute of Technology,,,
16903,Texas Southern University,,,
16913,Loyola University New Orleans,,,
16919,The College Board,,,
16922,University of Oklahoma HSC,,,
16938,Excelsior College,,,
16989,"The University of Tennessee, Memphis",,,
17001,University of Manitoba,,,
17035,NBCUniversal,,,
17055,University of Utah,,,
17124,South Arkansas Community College,,,
17135,Ohio University,,,
17152,Bates College,,,
17196,College of duPage,,,
17200,Seattle Community College District,,,
17202,Florida Gulf Coast University,,,
17207,Colorado College,,,
17234,Gustavus Adolphus College,,,
17244,McNeese State University,,,
17278,Iona College,,,
17287,Universidad de Carabobo,,,
17309,Roosevelt University,,,
17324,Yeshiva University,,,
17326,Concordia College,,,
17327,Texas State Technical College at Waco,,,
17342,Hillsborough Community College,,,
17364,Soka University of America,,,
17369,Chapman University,,,
17479,Chiang Mai University,,,
17523,Aoyama Gakuin University,,,
17553,Bogor Agricultural University,,,
17595,Korea Institute of Nuclear Safety,,,
17599,Yuhan College,,,
17603,Kumoh National University Technology,,,
17614,Geumgang University,,,
17615,Cheongju University,,,
17687,National University Corporation Nagoya University,,,
17701,Seinan Gakuin University,,,
17712,National Chung Cheng University,,,
17713,National Sun Yat-sen University,,,
17716,National Taiwan University,,,
17721,International Rice Research Institute,,,
17764,The Open University of Hong Kong,,,
17827,Sukhothai Thammathirat Open University,,,
17856,Konyang University,,,
17861,KyungNam College of Information & Technology,,,
17862,Kangwon National University,,,
17866,Korea Institute of Science and Technology,,,
17868,Hyupsung University,,,
17870,Kyung Hee University,,,
17932,Japan Advanced Institute of Science and Technology,,,
17934,National Institute of Information and Communications Technology,,,
17943,Tokyo Denki University,,,
17946,Gifu University,,,
17956,WASEDA University,,,
17960,University of the Ryukyus,,,
18023,Korea Maritime and Ocean University,,,
18026,Cheju National University,,,
18027,namseoul university,,,
18028,GyeongSang National University,,,
18029,Daejeon Helath Sciences College,,,
18031,Sangmyung University,,,
18038,Korea National University of Education,,,
18047,National Tsing-Hua University,,,
18076,Institute of Advanced Media Arts and Sciences,,,
18087,Toyo University,,,
18091,Teikyo University,,,
18124,Okayama University of Science,,,
18128,RIKEN(Physical and Chemical Research Institute),,,
18143,"Mitsubishi Research Institute DCS Co.,Ltd.",,,
18148,Fukuoka University,,,
18163,jinju national university,,,
18164,Mokpo National University,,,
18170,Changwon National University,,,
18173,Aga Khan University,,,
18177,National Cheng Kung University,,,
18181,National Health Research Institutes,,,
18185,National Chiao Tung University,,,
18188,Ateneo de Manila University,,,
18267,Doshisha University,,,
18276,Kansai University,,,
18298,Chungnam National University,,,
18315,Sorabol College,,,
18319,Yeungnam College of Science & Technology,,,
18320,Gwangju National University of Education,,,
18322,Daegu Health College,,,
18323,Seoul National University Bundang Hospital,,,
18324,Masan College,,,
18325,Korea Christian University,,,
18327,Jinju International University,,,
18329,Sangmyung University,,,
18331,Hyechon college,,,
18337,KyungSan University,,,
18340,Korea University,,,
18341,Gumi College,,,
18343,Daegu Technical College,,,
18378,National Institute of Water and Atmosphere,,,
18394,Universitas Pendidikan Indonesia,,,
18420,National Central University,,,
18422,Industrial Technology Research Institute,,,
18454,Augsburg College,,,
18460,Fort Hays State University,,,
18479,Universo Online S.A.,,,
18515,University of Texas at Arlington,,,
18553,University of West Florida,,,
18555,The Art Institute of Chicago,,,
18560,Lamar State College - Orange,,,
18564,"St. John's University, New York",,,
18592,"Corporacion Universitaria para el Desarrollo de Internet, A.C.",,,
18621,The Conestoga College Institute of Technology and Advanced Learning,,,
18660,Kentucky State University,,,
18663,University of the Pacific,,,
18685,Bacharach Institute for Rehabilitation,,,
18693,University of Colorado Hospital,,,
18759,Armstrong Atlantic State University,,,
18777,Texas State University - San Marcos,,,
18791,Texas Christian University,,,
18794,Ramapo College of New Jersey,,,
18795,University of La Verne,,,
18948,New York Medical College,,,
19070,Eastern Illinois University,,,
19096,DeSales University,,,
19106,Andrews University,,,
19119,Rollins College,,,
19138,Sweet Briar College,,,
19153,The University of Tennessee at Martin,,,
19184,University of Wisconsin - Eau Claire,,,
19192,Universidad Central de Venezuela,,,
19200,Universidade Federal do Rio Grande do Sul,,,
19217,IVY Tech Community College of Indiana,,,
19231,NBCUniversal,,,
19321,University Medical Center,,,
19342,Trinity University,,,
19345,Bard College at Simon's Rock,,,
19395,Bucks County Community College,,,
19423,Lethbridge Community College,,,
19464,Washington & Lee University,,,
